title,link,news_source
SCOTUS upholds Texas’ congressional map for 2026 and hints at California’s fate,https://news.google.com/read/CBMiiwFBVV95cUxPdXZabnhNSkdPaXlReVB2TVo1ZVpuSUYyX1lUX3UwTnJtWXE1RWpoLVlZS09Ya0VERjNuR0lhT1QzMkw5WmhfN2oyQ3lvZUwydHExSU1CSW5Yc3I4b2ViTEloN2xfSkpuTDZNb0NJZnFyX1Q5V016MElqS2F0VmlzOWFqaENMY1hIQzdv0gGLAUFVX3lxTE4tZ3JoYVpjbDZkMWZ4OXlrdXhxMmlaRUhlWDRVRHpmR1ZINWhaNFBqVTN3dUdZTlFVaHZXVDZVZlhlTzJYZzc1bFRrYlFDZEJGTGdDeXRfYThwdkFZVXNWMzc3Vk5VX3RqenFpRnNzbWIwT3dRNGhwaVV4RVNDOTJrVDRCdWJDOXZkeTQ?hl=en-US&gl=US&ceid=US%3Aen,Sacramento Bee
Trump Returns Coast Guard Helicopter to Oregon Fishing Town After Uproar,https://news.google.com/read/CBMihAFBVV95cUxQbXFlX1pIYnVKeEhrSEZpZzkzN3QyQ0ZYY2ZpOGhYREdLdnNac081d2J3T3BUT28ycGZjenRfRlM5d1hMS0JCdkVuSl8yM1MyaGNqWi1nSF8xZmVRN1RwOE5QMEJITW9UamZfY1JmOVhHdjk3Zlktc3JGQzJwNm1zUEpXTnk?hl=en-US&gl=US&ceid=US%3Aen,The New York Times
Video shows Luigi Mangione says he didn't want to talk. Police kept asking questions,https://news.google.com/read/CBMihAFBVV95cUxNcFlkM0ZDQ1pQMFhSbGtTYk9fMml4Sk81YjVRVmp3VkxiMlBXaTJvUVhXVThrSW1WaDlXZkpNX2NQQWZxM0RYMTJsdmxwRDV4QklnU2M2bTBtZ28yNTluQ0t6eXNhNV9VeDJaQ0FSWWJETjlWdXdpZERMSjM3S3RSanBmUFA?hl=en-US&gl=US&ceid=US%3Aen,NPR
Hegseth Had System Installed for Personal Cell in Pentagon Office: IG Report,https://news.google.com/read/CBMiqAFBVV95cUxOQ1pTeVMyYTg3UDBBenM3cTRvUFgxSUtiekMzT1d6d3lhMVd6ekU5QXNHWnVnaU44ZTlreEkybGlJR19aeUhsbGl4ZE45Z0ZQX2JBamYxTEhaVlFkbnUzWjZQR3FJQkdWLTYzN2l2bm1jOFZHX1ZURjJrWXZ5UHNJdXQtVTRDa2NXaTF6RDluV1pseXRzU29BUlF1NkVnMmJuLUpuclR4ZmU?hl=en-US&gl=US&ceid=US%3Aen,Business Insider
"Centrist lawmakers unveil ACA plan amid House, Senate scramble",https://news.google.com/read/CBMihAFBVV95cUxOSHhpeHNvQzZRcGxTXzNXQk9vSDFhWlNkSXd1ZVFfcXM3SnA0eGFFUlRreWpBZFpQdmUxM1pNblFEeExtdGJZMkE3V3lIV0gyLWhwWklvNTk3Z0xlMTk5OFZhV0l4U0E2SDMzYTFHbWsxLVo2R0dUcTZmVmhaNnRLUllHbC0?hl=en-US&gl=US&ceid=US%3Aen,Axios
D.C. may see accumulating snow as storm hits Mid-Atlantic. What to expect.,https://news.google.com/read/CBMifkFVX3lxTE13YjNiZnNHdHVoblhfVkpvdFRiTE5wWDZ0OEJQR0pNMXluWkJrNEpxcEFmQWh4dE5iOHFPU0R5a2ZlR0FZaktJUjN4LWNpekFUbTJtREFPSndVLUFsdmJ3OVM3cFV4M0dyTDNUcGJCcGFncEx4cEtGbmQ3RDhnUQ?hl=en-US&gl=US&ceid=US%3Aen,The Washington Post
Trump hires new architect for White House ballroom,https://news.google.com/read/CBMifkFVX3lxTFAxR0hHTGlsOHBvMGxUSTRiUVl1MlhpMjRuaVI0R0xKUFFGNUdrMzhzMEdEME5uRWFCZFQzZ013N252TGJpTUpiemJCMjdQMjVGeFh3S2ZEbk1hZUZHVmxvV2s5LVBQRmZiYUFTSTdMWmd4RnEwX2ZyZi1zcVkzd9IBfkFVX3lxTE9pVk05YWpCQVFFLXljd0JFWW1FSGQ1cTlTOWlhNm5vMWV6WldZUGk3NXlFRW5JS1M2bGJnSnRXVXNYOFZhSHUwMmo1My10WWROcm4zX3RSOTlmOWZsQlhkbUdUVks0eXhPbzYxLVRRUW1PTzJDbjB3aHM0ejNvQQ?hl=en-US&gl=US&ceid=US%3Aen,DW
JD Vance brushes off speculation about his marriage,https://news.google.com/read/CBMid0FVX3lxTE5PM0ZhSW5vcEJHbDcxQi1uMXlTWENaTjg3LU4zYUZqbExQeGF0VWpXUlpVbmhMRWxHLUZaMXE5c3p6U04tWEdqOEFTZ3JWaGtfbTVUUTR4YWxja3NRSTdnUUVrejhSdmQ1MmFzWGxYS0hQdmxxN0ow?hl=en-US&gl=US&ceid=US%3Aen,CNN
‘It’s attempted kidnapping’: Video shows masked agents chase US-born woman back to her Marrero home,https://news.google.com/read/CBMimgJBVV95cUxQSmRqM0wtT2J2YTR4YWNCN0F0c2xFVm1CakhCdGc5QkFLeGR5c3B1VjJXbHpJNVFnWFBHR1ZFeTlQNmJUQ1JGRzB4QmVHSk50UnJHQ1JrckJEMVlGbkt3b1M5UDlaSVdCUmFkbW5ndFFxYjdrV0c0S2VzT2VUc3JjS1g0SExCSlp0ZnlSV1FqdGxldnphZTNfS19XeWt5UjdKcVhuTGJ3UUlRbDRKZkh3OVNzeXV2V003VllXb2VfRF8tS0ZqRW9ERkFnS2Joa3MwWUt5WjZSVTZ4cjVTY3VLTHFDclNuenNzM1RqM2YtVl9Ob1Bmdk1nYWh5M2JPaEY5UkVQelYzZVFBTVNTRExWaVAzeHVJaDNYeVE?hl=en-US&gl=US&ceid=US%3Aen,WWLTV.com
‘Must Be Nice’: House Dem Mike Johnson Delayed Swearing In for 7 Weeks Reacts to Quick Ceremony for New GOP Member,https://news.google.com/read/CBMigAFBVV95cUxOblhJcC10VDBhNHNkN3FkN1BSNlBRQndrdU9iQWNpc1NaTkdEeTdkRExZbEdyNDFoU0JrRnh5ZGpwZTYxVkhXMzBnVTMxNk5EZHdvOTNVdU5ZcmhWd0JLVXNnZWlpX1ZuS1E2TmRNU2JNWEVoaEJQdDFMX3Ita1N0cQ?hl=en-US&gl=US&ceid=US%3Aen,Yahoo
